pkg,size_mb,forkevent_pre,pullrequestevent_pre,pushevent_pre,releaseevent_pre,watchevent_pre,issues_opened_pre,issues_closed_pre
a-pandas-ex-df2htmlstring,0.0048828125,0.0,0.0,1.0,0.0,0.0,0.0,0.0
aa-simplewiki,,,,,,,,
aacommpy,2.072265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aamaze,0.1025390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acmen,5.5439453125,1.0,0.0,9.0,1.0,0.0,0.0,0.0
acnawebcli,0.0078125,0.0,0.0,2.0,0.0,0.0,0.0,0.0
acnaweblib,0.009765625,0.0,0.0,1.0,0.0,0.0,0.0,0.0
acs-axiom,6.607421875,0.0,47.0,66.0,2.0,2.0,14.0,24.0
adaptive-cards-py,0.1279296875,0.0,6.0,3.0,0.0,1.0,0.0,0.0
adversary-armor,0.0498046875,0.0,8.0,27.0,0.0,0.0,0.0,0.0
aeropython,53.7529296875,0.0,0.0,17.0,0.0,0.0,0.0,0.0
age-detection,0.6474609375,2.0,0.0,0.0,0.0,1.0,0.0,0.0
agvis,135.9140625,1.0,24.0,15.0,1.0,1.0,13.0,1.0
aibasics,1.345703125,0.0,1.0,30.0,3.0,0.0,0.0,0.0
aiha,1.39453125,0.0,1.0,13.0,1.0,1.0,0.0,0.0
aio-overpass,0.8466796875,0.0,0.0,23.0,0.0,0.0,0.0,0.0
aioduckdb,0.3310546875,3.0,1.0,0.0,0.0,3.0,0.0,0.0
aiomonobank,0.041015625,0.0,1.0,9.0,0.0,1.0,0.0,0.0
aiotaika,0.0400390625,0.0,0.0,9.0,0.0,0.0,0.0,0.0
airflow-kubernetes-job-operator-test25,0.5283203125,0.0,0.0,7.0,0.0,8.0,1.0,1.0
airflow-kubernetes-job-operator-test26,0.5283203125,0.0,0.0,7.0,0.0,8.0,1.0,1.0
aisee,4.423828125,1.0,16.0,33.0,2.0,24.0,0.0,1.0
algorand-vanity,0.0439453125,0.0,0.0,6.0,0.0,0.0,0.0,0.0
